aprendiendo;embezando
judeoespañol;judeo-espanyol
levanto;alevanto
gusta;plaze
bebo;bevo
café;kafe
turco;turko
almuerzo;komida de midi
sed;ser
vaso;kupa
telefono;telefon
mucho;muncho
enfermo;hazino
embarasada;prenyada
vecina;vizina
vive;bive
pelicula;filmo
maleta;validja
pesada;pezgada
estudiante;elevo
lejos;leshos
cocina;giza
vendran;van a vinir
debo;devo
mercado;charsi
tienda;botika
cierra;serra
mejor;mijor
mejor amiga;amiga intima
conozco;konosko
conoces;konoses
aquella;akeya
hace;ay
años;anyos
empieza;empesa
pesaj;pesah
que;ke
cocina;mupak
cenar;kome
bebe;beve
albondiga;koftika
puerro;prasa
pastel;gato
aqui;aki
arbol;arvol
jardin;guerta
abril;avril
verde;vedre
flor;roza
lluvia;luvya
brilla;briya
felices;felizes
estacion;sezon
parque;parko
bicicleta;bisikleta
sentada;asentada
esperando;asperando
charlando;aziendo muabbet
mediodia;midi
cumpleaños;aniversario
comprar;markar
dificil;difisil
encontrar;topar
ahora;agora
camisa;kamiza
corbata;kravata;
chaqueta;djaketa
reloj;ora
unos;un
escoger;eskojer
oscuros;kuyi
fiesta;parti
mañana;amanyana
escuela;eskola
alegria;alegriya
clase;klasa
bosforo;bosfor
chica;ija
chico;ijo
vestido;fostano
barco;vapor
estambul;estambol
ciudad;sivdad
magica;majika
turista;turisto
etc;ets
puente;ponte
deliciosa;savroza
creer;kreer
libro;livro
nuevo;muevo
venid;veni
casamentera;kazamentera
metrimonio;kazamiento
hechicera;ichizera
hechizos;ichizos
rabino;haham
religioso;relijiozo
sastre;shastre
coce;kuze
saliendo;flörtando
trae;traye
rosa;roza
cine;sinema
borde;bodre
preparando;aparejando
ajuar;ashugar
dote;dota
casarse;kazar
terminar;eskapar
abogada;avokata
medico;doktor
trabaja;lavora
comprar;merkar
casa;kaza
fuera;afuera
quieren;keren
verano;enverano
pequeña;chika
cuando;kuando
trabajo;echo
fuera;afuera
ellos;eyos
frase;fraza
descansar;deskansar
aire;aver
mosquito;moshko
cosa;koza
cocinar;gizar
quema;kema
bien;bueno
rollito;ruliko
berenjena;berendjena
tomate;tomat
mesa;meza
pone;mete
encaje;dantela
noticia;nuvela
leer;meldar
llena;yena
aventura;aventuras
dejar;deshar
medicina;medisina
porque;por ke
preparan;aparejan
juegan;djugan
piscina;pisina
jugar;djugar
musica;muzika
clasica;klasika
jazz;djaz
acompaña;akompanya
clase;leson
bosque;shara
museo;muzeo
domingos;alhades
tasas;kaves
corazon;korason
dice;dize
estres;stres
pero;ma
meditación;meditasyon
encuentra;topa
contento;orozo
paciente;hazino
familia;famiya
llevarlo;yevarlo
felicidad;felisidad
facilmente;kolay
decimos;dezimos
ultimo;dalkavo
escribiendo;eskrivyendo
obra;piesa
aficionados;amatores
ensayos;provas
animan;arebiven
teatro;teatral
os;vos
celebrar;selebrar
jefe;shefe
importante;valutoza
dichos;dichas
suegras;eshuegras
internacional;internasyonal
debemos;kale
protegernos;protejarmos
microbios;mikropes
vitaminas;vitamines
abringandonos;abrigandomos
calle;kaye
debemos;devemos
hubo;uvo
muchos;muchas
daños;danyos
al final;a la fin
al final;a la fin
a rajatabla;a la letra
a escondidas;a las eskondidas
a partir de;a partir de
a pie;a pie
estofado;abafado 
abandonar;abandonar
cuesta abajo;abashada
resfrýado, influenza, gripe;abashada
bajar;abashar
bajar;abashar
bastar;abastar
afligido;abatido 
habitual, normal;abitual
habituar;abituar
girar, volver;aboltar
odiar, aborrecer;aborreser
abrazar;abrasar
abarcar;abrasar
abrigarse;abrigarse
absoluto;absoluto
culpa de;achakes de, por modo de
agachado;achunkado
adelantar;adelantar
adelante;adelantre
agencia;adjensia
juntar, unir;adjuntar
ajustar, añadir;adjustar
administrar;administrar
admirar;admirar
admiración;admirasion
adolescencia;adolesensia
reparar;adovar
dirección;adreso
anciano;aedado
aficionado;aferrado 
sujetar;aferrar
resfriarse;aferrar abashada
afligir;aflijar
afligirse;aflijarse; tener pena
privación;afrision
afuera, fuera;afuera
ahora;agora
gustar a;agradar a..., plazer a...
gustar;agradar, plazer
agradecer;agradeser
agradecimiento;agradesimiento
afilado;aguzado
afilador;aguzador
afilar;aguzar
averiar;aharientar
averiarse;aharientarse
lacrar;aharvar
afuera, fuera;ahuera
adjetivo;ajektivo
extranjero;ajeno
caoba;akaju
acacia;akasia
acabar;akavar
aquello;akeyo
aquí;aki
despejar;aklarar
recuerdo;akodransa
recordar;akodrar
recordar;akodrar
acomodar;akomodar
acompañar;akompanyar
ocurrir;akonteser
acordar;akordar
acordarse;akordarse
acuerdo;akordo
a menudo;akoruto
acostumbrar;akostumbrar
acento;aksan
acentuar;aksantuar
acentuación;aksantuasion
aceptar;akseptar
accidente;aksidente
acción;aksion
lanzado;aktivo
acto;akto
actor;aktor
actriz;aktrisa
actual;aktual
actuar;aktuar
sino;al kontrario
al tacto;al tokar
alrededor;al torno, al dorredor
alarmar;alarmar
alrededor;alderredor
bolsillo;aldikera
alegre;alegre
alegre;alegre
alejar;aleshar
levantar;alevantar
levantarse;alevantarse
algo;algo
alguien, algo;algun
alguien, alguno;alguno
domingo;alhad
domingo;alhad
alimentar;alimentar
alimento;alimento
limpiar;alimpiar
acostumbrado;alishtereado
alcanzar;alkansar
alcanzar;alkansar
alquilar;alkilar
alcohol;alkol
apellido;alkunya
alma;alma
armario;almario
azafrán;alsafran
alto;alto
amanecer;amaneser
amante;amante
mañana;amanyana
amargo;amargo
amarillo;amariyo
apagar;amatar
aficionado, principiante;amator
embajador;ambasador
enseñar;ambezar, ensenyar
enseñar;ambezar, ensenyar
aprender;ambezarse
hambriento;ambierto
hambriento;ambierto 
hambre;ambre
amigo;amigo
mejorar;amijorar
mejorarse;amijorarse
amistad;amistad
amor;amor
piña tropical;ananas
ancho;ancho
a donde;ande
adonde;ande
ángel;andjelo
chiste;anekdota
anestésico;anesteziko
animal;animal
