la siensias;las siensias
el kura;la kura
kaso de agua;kupa de agua
el shara;la shara
las bolas;los topes
un chiko guerta;una chika guerta
vas a azer;vas azer
la bola;el tope
admirarse de?;maraviyarse
komer la noche;komer para la noche
komer la tarde;komer para la tarde
Ven tu, tambien!;Ven i tu!
cazo de agua;kupa de agua
le avo dado;le di
tengo que;devo de
tengo ke;kale
unos pantalon;un pantalon
es dezir;kere dezir
tyenes que;deves de
tyene que;deve de
tenemos que;devemos de
sople la nariz;Amokate!
el garganta;el piskueso
tenesh que;devesh de
a el;al
tienen que;deven de
es dezir;kere dezir
ay ke;kale
tengo ke;kale
del komida;de la komida
pimientos vedres reyenos;dolmas de pipirushkas
estan resien;son rezin
aze yelado;esta yelado
los dota;la dota
el guerta;la guerta
es pasensia;tiene pasensia
kostum de banyo;manyo
D'estambol;D'Estambol
los kriaturas;las kriaturas
Los kriaturas;Las kriaturas
una mesaje;un mesaje
azzan;hazan
de ande;anda
el kolor;la kolor
ven tu, tambien;ven i tu
al final;a la fin
al tacta;al tokaa
los guertas;las guertas
rozaes;rozas
al tacto;al tokar
allá usted;el save
mijor amiga;amiga intima
ama de casa;mujer de kaza
barra de labios;ruj
bolso de señora;bolsa de mujer
cambiar de opinión;trokar de opinion
cien diez;sien i diez
cien dos;sien i dos
cien noventa;sien i noventa
cien un;sien i uno
cincuenta y cinco;sinkuenta i sinko
cincuenta y cuatro;sinkuenta i kuatro
cincuenta y ocho;sinkuenta i ocho
cincuenta y seis;sinkuenta i sesh
cincuenta y siete;sinkuenta i siete
como quiera que;una vez ke
consigo mismo;kon si mizmo
cuesta abajo;abashada
dar a luz;meter al mundo
dar una noticia;informar
darse prisa;apresurarse
de repente;en supito
de repente;ensupito
de vez en cuando;de vez en kuando
doscientos un;dozientos i uno
en fin;enfin
en general;jeneralmente
en medio;en medio
en seguida;pishin
encontrarse a disgusta;estar desrepozada
encontrarse a disgusto;estar desrepozado
encontrarse a gusto;estar repozado
encontrarse bien;sentirse bien
entre tanto;entremientes
esta mañana;oy demanyana
fin de semana;fin de semana
frente a;enfrente de
hacer fiesta;fiestar
hay que;kale
lengua materna;lingua maternal
mal de oja;aynara
mal de ojo;aynara
mejor amiga;amiga intima
mes que viene;el mez ke viene
no bien;apenas ke
noventa y nueve;noventa i mueve
noventa y ocho;noventa i ocho
noventa y seis;noventa i sesh
noventa y siete;noventa i siete
ochenta y cinco;ochenta i sinko
ochenta y cuatro;ochenta i kuatro
ochenta y tres;ochenta i tres
para que;para ke
pasado mañana;pasado amanyana
pasarlo bien;eglenearse
pieza dramática;piesa de teatro
piña tropical;ananas
por ende;indemas
por fin;finalmente
por lo tanto;dunke
por supuesto;naturalmente
quién sabe;ken save
respecto a;en raporto a
responder de;responder de
saber a;tomar savor
saber mal;azer pena
sangre fría;kalmo
servicio militar;servisio militar
sesenta y nueve;sesenta i mueve
setenta y dos;setenta i dos
setenta y un;setenta i uno
tener hipa;tener sangluta
tener éxito;reushir
tomo y loma;todo enduna
tomo y lomo;todo enduna
topar con;chaptear
traje de baño;mayo
tratar de usted;vuvuayar
treinta y cinco;trentisinko
treinta y cuatro;trentikuatro
treinta y dos;trentidos
treinta y nueve;trentimueve
treinta y ocho;trentiocho
treinta y seis;trentisesh
treinta y siete;trentisiete
treinta y tres;trentitres
treinta y un;trentiuno
vino tinta;vino kolorada
vino tinto;vino kolorado
del komida:de la komida
de el;del
