abalanzar;ekilibrar
abandonar;abandonar
abanicaieron;abanikaieron
abanicaimos;abanikaimos
abanicaiste;abanikaiste
abanicaió;abanikaio
abanicaremos;abanikaremos
abanicará;abanikara
abanicarán;abanikaran
abanicarás;abanikaras
abanicaré;abanikare
abanicaí;abanikai
abanicaía;abanikaia
abanicaíamos;abanikaiamos
abanicaían;abanikaian
abanicaías;abanikaias
abarcar;abrasar
abarracaieron;abarrakaieron
abarracaimos;abarrakaimos
abarracaiste;abarrakaiste
abarracaió;abarrakaio
abarracaremos;abarrakaremos
abarracará;abarrakara
abarracarán;abarrakaran
abarracarás;abarrakaras
abarracaré;abarrakare
abarracaí;abarrakai
abarracaía;abarrakaia
abarracaíamos;abarrakaiamos
abarracaían;abarrakaian
abarracaías;abarrakaias
abasteceremos;abasteseremos
abastecerá;abastesera
abastecerán;abasteseran
abastecerás;abasteseras
abasteceré;abastesere
abastecieron;abastesieron
abastecimos;abastesimos
abasteciste;abastesiste
abasteció;abastesio
abastecí;abastesi
abastecía;abastesia
abastecíamos;abastesiamos
abastecían;abastesian
abastecías;abastesias
abdicaieron;abdikaieron
abdicaimos;abdikaimos
abdicaiste;abdikaiste
abdicaió;abdikaio
abdicaremos;abdikaremos
abdicará;abdikara
abdicarán;abdikaran
abdicarás;abdikaras
abdicaré;abdikare
abdicaí;abdikai
abdicaía;abdikaia
abdicaíamos;abdikaiamos
abdicaían;abdikaian
abdicaías;abdikaias
abducieron;abdusieron
abducimos;abdusimos
abduciremos;abduziremos
abducirá;abduzira
abducirán;abduziran
abducirás;abduziras
abduciré;abduzire
abduciste;abdusiste
abdució;abdusio
abducí;abduci
abducía;abducia
abducíamos;abduciamos
abducían;abducian
abducías;abducias
aberraieron;aberraieron
aberraimos;aberraimos
aberraiste;aberraiste
aberraió;aberraio
aberraremos;aberraremos
aberrará;aberrara
aberrarán;aberraran
aberrarás;aberraras
aberraré;aberrare
aberraí;aberrai
aberraía;aberraia
aberraíamos;aberraiamos
aberraían;aberraian
aberraías;aberraias
abnegaieron;abnegaieron
abnegaimos;abnegaimos
abnegaiste;abnegaiste
abnegaió;abnegaio
abnegaremos;abnegaremos
abnegará;abnegara
abnegarán;abnegaran
abnegarás;abnegaras
abnegaré;abnegare
abnegaí;abnegai
abnegaía;abnegaia
abnegaíamos;abnegaiamos
abnegaían;abnegaian
abnegaías;abnegaias
abocaieron;abokaieron
abocaimos;abokaimos
abocaiste;abokaiste
abocaió;abokaio
abocaremos;abokaremos
abocará;abokara
abocarán;abokaran
abocarás;abokaras
abocaré;abokare
abocaí;abokai
abocaía;abokaia
abocaíamos;abokaiamos
abocaían;abokaian
abocaías;abokaias
abogada;avokata
abogado;avokato
abogaieron;abogaieron
abogaimos;abogaimos
abogaiste;abogaiste
abogaió;abogaio
abogaremos;abogaremos
abogará;abogara
abogarán;abogaran
abogarás;abogaras
abogaré;abogare
abogaí;abogai
abogaía;abogaia
abogaíamos;abogaiamos
abogaían;abogaian
abogaías;abogaias
abolieron;abolieron
abolimos;abolimos
aboliremos;aboliremos
abolirá;abolira
abolirán;aboliran
abolirás;aboliras
aboliré;abolire
aboliste;aboliste
abolió;abolio
abolí;aboli
abolía;abolia
abolíamos;aboliamos
abolían;abolian
abolías;abolias
aborreceremos;aborreseremos
aborrecerá;aborresera
aborrecerán;aborreseran
aborrecerás;aborreseras
aborreceré;aborresere
aborrecieron;aborresieron
aborrecimos;aborresimos
aborreciste;aborresiste
aborreció;aborresio
aborrecí;aborresi
aborrecía;aborresia
aborrecíamos;aborresiamos
aborrecían;aborresian
aborrecías;aborresias
abraza;abraza
abrazaba;abrazaba
abrazaban;abrazaban
abrazabas;abrazabas
abrazamos;abrazamos
abrazan;abrazan
abrazar;abrasar
abrazaremos;abrasaremos
abrazaron;abrasaron
abrazará;abrasara
abrazarán;abrasaran
abrazarás;abrasaras
abrazaré;abrasare
abrazas;abrazas
abrazaste;abrazaste
abrazo;abrazo
abrazábamos;abrazabamos
abrazé;abraze
abrazó;abrazo
abre;avre
abriga;pardesa
abrigaieron;abrigaieron
abrigaimos;abrigaimos
abrigaiste;abrigaiste
abrigaió;abrigaio
abrigaremos;abrigaremos
abrigarse;abrigarse
abrigará;abrigara
abrigarán;abrigaran
abrigarás;abrigaras
abrigaré;abrigare
abrigaí;abrigai
abrigaía;abrigaia
abrigaíamos;abrigaiamos
abrigaían;abrigaian
abrigaías;abrigaias
abrigo;pardesu
abril;avril
abringandonos;abrigandomos
abrir;avrir
abrogaieron;abrogaieron
abrogaimos;abrogaimos
abrogaiste;abrogaiste
abrogaió;abrogaio
abrogaremos;abrogaremos
abrogará;abrogara
abrogarán;abrogaran
abrogarás;abrogaras
abrogaré;abrogare
abrogaí;abrogai
abrogaía;abrogaia
abrogaíamos;abrogaiamos
abrogaían;abrogaian
abrogaías;abrogaias
abroncaieron;abronkaieron
abroncaimos;abronkaimos
abroncaiste;abronkaiste
abroncaió;abronkaio
abroncaremos;abronkaremos
abroncará;abronkara
abroncarán;abronkaran
abroncarás;abronkaras
abroncaré;abronkare
abroncaí;abronkai
abroncaía;abronkaia
abroncaíamos;abronkaiamos
abroncaían;abronkaian
abroncaías;abronkaias
abré;avre
abríl;avril
absoluto;absoluto
absolveremos;absolveremos
absolverá;absolvera
absolverán;absolveran
absolverás;absolveras
absolveré;absolvere
absolvieron;absolvieron
absolvimos;absolvimos
absolviste;absolviste
absolvió;absolvio
absolví;absolvi
absolvía;absolvia
absolvíamos;absolviamos
absolvían;absolvian
absolvías;absolvias
abstenerseemos;abstenerseemos
abstenerseá;abstenersea
abstenerseán;abstenersean
abstenerseás;abstenerseas
abstenerseé;abstenersee
abstenersieron;abstenersieron
abstenersimos;abstenersimos
abstenersiste;abstenersiste
abstenersió;abstenersio
abstenersí;abstenersi
abstenersía;abstenersia
abstenersíamos;abstenersiamos
abstenersían;abstenersian
abstenersías;abstenersias
abstraeremos;abstraeremos
abstraerá;abstraera
abstraerán;abstraeran
abstraerás;abstraeras
abstraeré;abstraere
abstraieron;abstraieron
abstraimos;abstraimos
abstraiste;abstraiste
abstraió;abstraio
abstraí;abstrai
abstraía;abstraia
abstraíamos;abstraiamos
abstraían;abstraian
abstraías;abstraias
abuela;nona
abuelo;nono
aburrir;enfasyar
acabar;akavar
acabar;eskapar
acacia;akasia
acaeceremos;akaeseremos
acaecerá;akaesera
acaecerán;akaeseran
acaecerás;akaeseras
acaeceré;akaesere
acaecieron;akaesieron
acaecimos;akaesimos
