abatiste;abatites
abatí;abati
abatías;abatias
abogada;avokata
abogado;avokato
abonaste;abonates
aboné;aboni
algunos;algunos
granja;chiflik
granjas;chiflikes
abordaste;abodrates
abordo;abodro
abortaste;abortates
aborté;aborti
peces;pishkados
pez;pishkado
abrochas;abrokas
abrochaste;abrokates
tarjeta;carta
tarjetas;cartas
abrocho;abroko
abroché;abroki
abríl;avril
absorbiste;absorbites
absorbéis;absorbesh
absorbí;absorbi
absorbías;absorbias
abuela;gramama
abuela;nona
abuelo;granpapa
abuelo;nono
aburriste;aburrites
aburrías;aburrias
abusaste;abusates
abusé;abusi
acacia;akasia
acampas;akampas
acampaste;akampates
acampo;akampo
acampé;akampi
acariciaste;akarisiates
accederías;acsedas
accediste;acsedites
accedéis;acsedesh
accedías;acsedias
accidente;aksidente
acción;aksion
aceite;azete
aceleraste;aselerates
acento;aksan
acentuación;aksantuasion
acerca;aserka
achaque;desrepozo
acogí;akodji
acogías;akodjias
acomodaste;akomodates
acomodo;akomodo
acompañaste;akompanyates
aconsejaste;akonsejates
acoplas;akoplas
acoplaste;akoplates
acoplé;akopli
acortas;akortas
acortaste;akortates
acorto;akorto
acorté;akorti
acosas;akosas
acosaste;akosates
acoso;akoso
acostumbrado;alishtereado
acosé;akosi
acreditas;akreditas
acreditaste;akreditates
acredité;akrediti
acta;akta
activa;aktiva
activas;aktivas
activaste;aktivates
activo;aktivo
acto;akto
actor;aktor
actriz;aktrisa
actual;aktual
acudiste;akudites
acudías;akudias
acuerdo;akordo
acusaste;akusates
acusé;akusi
adaptaste;adaptates
adelantaste;adelantates
además;indemas
adherí;aderi
adherías;aderias
adivinaste;adivinates
adiviné;adivini
adjetivo;ajektivo
adjuntaste;adjuntates
adjunté;adjunti
administraréis;administraresh
administraste;administrates
admiración;admirasion
admiraste;admirates
admitirás;admitiras
admitiré;admitire
admitiréis;admitiresh
admitirías;admitas
admitiste;admitites
admití;admiti
admitías;admitias
adolescencia;adolesensia
adonde;ande
adoptaste;adoptates
adoraste;adorates
adornaste;adornates
adorné;adorni
afectas;afektas
afectaste;afektates
afecto;afekto
afecté;afekti
afeitarse;araparse
afeitaste;afeitates
afeité;afeiti
aferraí;aferrai
aficionado;aferrado
aficionados;amatores
aficiones;hobis
afición;hobi
afilado;aguzado
afilador;aguzador
afiliaí;afiliai
afinaste;afinates
afiné;afini
afirmaste;afirmates
afligido;abatido
afligirse;aflijarse
aflojaste;aflojates
aflojé;afloji
afluí;aflui
afluías;afluias
afortunado;mazalozo
afrontaste;afrontates
afronté;afronti
agachado;achunkado
agencia;adjensia
agitaste;adjitates
agité;adjiti
agoraí;agorai
agotaste;agotates
agoté;agoti
agradaste;agradates
agradecimiento;agradesimiento
agradeco;agradeko
agradecías;agradecias
agradé;agradi
agraviaí;agraviai
agredí;agredi
agredías;agredias
agriaí;agriai
aguantaste;agantates
aguardas;agadras
aguardaste;agadrates
aguaí;agai
agujerita;burakito de alguja
aguzaí;agzai
ahijaí;aijai
ahilaí;ailai
ahitaí;aitai
ahogaí;aogai
ahora;agora
ahorro;aorro
ahuchaí;ahukai
ahumaí;aumai
ahí;ayi
airaí;airai
aire;ayre
ajuar;ashugar
ajustaste;ajustates
ajusté;ajusti
alambicaí;alambikai
alargaí;alargai
alarma;alarm
alarmaste;alarmates
alarmé;alarmi
albala;dokumento ofisial
alborotaste;alborotates
alboroté;alboroti
alcanzé;alkanze
alcohol;alkol
alegaí;alegai
alegria;alegriya
alegría;alegriya
algarabía;bavajada
algarabía;patrania
aliaí;aliai
allá;aya
almuerzo;komida de midi
almíbar;komposto
alocaí;alokai
alongaí;alongai
alrededor;alderredor
alumna;eleva
alumno;elevo
alzaí;alzai
amanecer;amaneser
amaneces;amaneses
amanecías;amanecias
amargaí;amargai
amarillo;amariyo
amnistiaí;amnistiai
amoblaí;amoblai
amohinaí;amoinai
ampliaí;ampliai
amplificaí;amplifikai
anciana;aedada
anciano;aedado
anegaí;anegai
anestésico;anesteziko
anochecí;anosesi
anochecías;anosesias
ansiaí;ansiai
antagonizaí;antagonizai
ante;en prezensia
anteayer;antiyer
antedecí;antedeci
antedecías;antedecias
antepenúltimo;doz antes del dalkavo
anteponí;anteponi
anteponías;anteponias
anteví;antevi
antevías;antevias
antigua;antika
antiguaí;antigai
antiguo;viejo
antigüedad;antikita
anudarse;echarse anyudo
anunciaste;anunsiates
anuncio;anunsio
anís;anito
apaciguarseá;apasigarsea
apaciguarseás;apasigarseas
apaciguarseé;apasigarsee
apaciguarsimos;apasigarsimos
apaciguarsió;apasigarsio
apaciguarsí;apasigarsi
apaciguarsías;apasigarsias
apagarseá;apagarsea
apagarseás;apagarseas
apagarsías;apagarsias
aparcaí;aparkai
apareco;apareko
aparecías;aparecias
apartaste;apartates
apego;atamiento
apelaste;apelates
apellido;alkunya
apelé;apeli
apertura;avyertura
apestaste;apestates
apesté;apesti
apetecí;apetesi
apetecías;apetesias
aplastaste;aplastates
aplasté;aplasti
aplaudiste;aplaudites
aplaudí;aplaudi
aplaudías;aplaudias
aplicarseá;aplikarsea
aplicarseás;aplikarseas
aplicarsimos;aplikarsimos
aplicarsías;aplikarsias
aplicaí;aplikai
aponerás;aponeras
aponí;aponi
aponías;aponias
aportaste;aportates
apostaí;apostai
apoyaste;apoyates
apreciado;presiado
apreciaste;apresiates
aprecio;apresio
aprendéis;aprendesh
aprendías;aprendias
aprovechaste;aprovekates
aproximadamente;aproksimativamente
apuntaste;apuntates
apuraste;apurates
apuré;apuri
aquella;akeya
aquello;akeyo
aquí;aki
araña;aranya
arañas;aranyas
arañaste;aranyates
araño;aranyo
arañé;aranyi
arbol;arvol
arca;arka
arco;arko
arderás;adreras
arderé;adrere
arderéis;adreresh
arderías;adras
ardes;adres
ardiste;adrites
ardéis;adresh
ardí;adri
ardías;adrias
argüí;argui
argüías;arguias
armaria;almaria
armario;almario
aroma;parfum
arpía;djibeladjuz
arrastraste;arrastrates
arreglarse;kontentarse
arreglaste;arreglates
arreglo;arreglamiento
arrepentías;arrepentias
arrestaste;arrestates
arresté;arresti
arriaí;arriai
arriba;arriva
arriesgarse;rizikar
arriesgaí;arriesgai
arrogarseá;arrogarsea
arrogarseán;arrogarsean
arrogarseás;arrogarseas
arrogarseé;arrogarsee
arrogarsió;arrogarsio
arrogarsías;arrogarsias
arrogaí;arrogai
arrojaste;arrojates
arruaí;arruai
arrugé;arruge
arruinarse;falitar
artista;artisto
artícula;artikola
artículo;artikolo
asaste;asates
ascendías;assendias
aseguraste;asegrates
asentías;asentias
asesinas;asasinas
asesinaste;asesinates
asesino;asasino
asesiné;asesini
asestaí;asestai
asiento;asentador
asirás;asiras
asististe;asistites
asistías;asistias
asociaste;asosiates
asolaí;asolai
asomaste;asomates
asombrado;empalukeado
asombraste;asombrates
asombré;asombri
aspecta;aspekta
aspecto;aspekto
aspiraste;aspirates
aspirina;aspirin
aspiré;aspiri
astreñí;astrenyi
astreñías;astrenyias
astringí;astringi
astringías;astringias
astronauta;astronoto
astronómico;astronomiko
asumiste;asumites
asumías;asumias
asunta;koza
asunto;koza
asustarse;espantarse
asustaste;asustates
asé;asi
así;ansina
así;asi
asía;asia
asías;asias
atabas;atavas
atacaste;atakaste
atacé;atace
atardecí;atadresi
atardecías;atadresias
atascarseá;ataskarsea
atascarseán;ataskarsean
atascarseás;ataskarseas
atascarseé;ataskarsee
atascarsimos;ataskarsimos
atascarsió;ataskarsio
atascarsí;ataskarsi
atascarsía;ataskarsia
atascarsías;ataskarsias
atascarás;ataskaras
atascaí;ataskai
ataviaí;ataviai
atañerás;atanyeras
atañeré;atanyere
atañí;atanyi
atañías;atanyias
atenerseá;atenersea
atenerseás;atenerseas
atenersí;atenersi
atenersías;atenersias
atenerás;ateneras
atení;ateni
atenías;atenias
aterirseá;aterirsea
aterirseás;aterirseas
aterirseé;aterirsee
aterirsí;aterirsi
aterirsías;aterirsias
aterraí;aterrai
aterrorizaí;aterrorizai
aterí;ateri
aterías;aterias
atildado;elegante
atosigaí;atosigai
atracaí;atrakai
atraillaí;atraiyai
atrapaste;atrapates
atrapé;atrapi
atrasarse;atrazarse
atrasaste;atrasates
atrasé;atrasi
atraí;atrai
atreguaí;atregai
atreverse;atrivirse
atrevías;atrevias
